Model,distance,SNR,mcs_choice
2,31.1017,55.5062,9
2,31.4082,52.6335,9
2,5.86346,52.0367,9
2,3.87681,51.784,9
4,10.2881,51.1568,9
4,29.435,50.8787,9
1,38.9176,50.2422,9
4,31.3382,50.1235,9
2,34.5202,48.9294,9
1,4.06394,48.839,9
4,33.7722,48.4395,9
2,4.99591,48.4322,9
3,19.6063,47.9799,9
3,12.5534,47.1089,9
3,22.2211,46.7608,9
4,27.0183,46.2231,9
4,38.7285,45.9687,9
2,20.5948,45.8213,9
3,37.8035,45.4219,9
4,6.54737,44.1552,9
3,1.77593,43.8692,9
1,28.619,43.5806,9
2,25.9509,42.3453,9
4,29.1965,42.0666,9
4,8.69788,41.7349,9
4,29.3271,41.4322,9
5,4.87618,41.1594,9
3,16.0281,40.7624,9
5,10.8479,40.6861,9
1,37.8697,40.5803,9
4,25.5976,40.1651,8
4,14.7702,40.089,9
2,15.5176,39.8822,9
4,9.70536,38.7893,9
1,2.93746,38.1229,9
1,3.34839,37.6163,9
5,18.8154,37.5981,9
2,16.8782,37.4506,9
4,13.2525,36.9144,8
4,32.3351,36.4435,7
4,19.3686,36.1408,8
4,31.9217,35.9065,7
1,12.0851,35.8775,9
2,22.6394,35.148,9
4,26.1998,34.4965,7
5,0.541172,34.4706,9
4,23.5978,34.1734,7
2,35.6259,33.72,9
5,0.877102,32.2285,8
5,12.2035,31.7273,8
3,26.3743,31.7131,9
2,19.7369,30.7292,9
3,24.7386,30.334,9
2,22.5878,30.2138,6
2,29.2256,29.9467,9
4,28.2386,29.6331,6
4,16.8854,29.2053,6
3,4.2839,28.6014,8
4,37.7377,28.5889,6
1,10.887,28.1027,9
3,30.5487,28.0017,8
3,37.7703,27.9294,8
4,36.186,27.8204,5
3,14.6759,27.363,8
3,13.722,27.2279,8
4,18.9059,27.1954,5
3,37.1876,26.8457,8
4,11.9291,26.7694,5
3,23.6159,26.535,7
3,25.3974,25.8453,7
5,1.25778,25.0851,5
4,14.8972,25.0046,5
4,8.45509,24.3869,5
1,27.3516,24.352,8
5,4.90872,24.0181,5
3,1.79977,23.8556,6
5,15.8637,23.74,5
3,9.26615,23.3365,7
1,9.29626,22.0575,7
2,36.7142,21.9079,5
1,38.8517,21.6785,7
3,12.5138,21.1971,5
4,30.1292,21.1725,3
4,15.3427,21.1617,3
4,19.1286,20.9411,3
1,18.204,20.7647,7
3,16.9568,20.584,5
3,14.7632,20.4564,5
3,34.1531,20.4062,5
3,5.1348,20.377,5
5,21.0198,20.311,3
1,15.7087,20.2105,7
3,32.1074,20.1751,5
2,15.8223,20.0664,5
2,11.5158,19.8096,5
3,16.6512,19.4621,5
1,13.4749,19.4564,7
4,15.128,19.1631,3
3,34.3737,19.0456,4
1,34.972,18.9146,7
3,13.9381,18.6711,4
5,1.42831,18.6648,3
3,24.677,18.5644,4
1,34.8667,18.5195,7
3,8.82886,18.1952,4
2,35.8856,18.026,4
3,21.1889,17.9585,4
5,17.8571,17.8871,3
2,25.0204,17.8102,4
3,25.9081,17.7058,4
6,14.935,17.4963,3
4,24.689,17.3814,2
5,9.70969,17.3755,3
3,37.2384,17.3014,4
2,9.34235,17.2712,4
5,7.79057,17.0018,3
5,2.0558,16.7739,3
5,7.8949,16.2501,3
1,31.0606,15.8959,4
2,3.17114,15.6156,4
3,10.4668,15.3731,3
2,35.3863,15.3212,4
3,34.4953,14.9223,3
5,35.3709,14.808,1
4,9.95507,14.6853,2
3,20.8732,14.5393,3
2,13.9008,14.3175,4
6,15.2308,14.0004,2
3,32.4763,13.917,3
4,14.8543,13.8825,1
4,33.5733,13.7646,1
1,5.99741,13.7038,3
5,1.10542,13.633,3
1,2.60425,13.0671,3
5,2.77406,12.9294,2
2,36.3584,12.6635,2
5,6.1161,12.3757,2
2,10.3794,12.3699,3
4,6.62078,12.2698,2
5,33.9955,12.0734,1
4,39.9632,11.9805,1
3,28.1832,11.5847,1
2,21.0966,11.4636,1
4,8.72299,11.271,2
2,34.7611,11.1146,0
4,39.6521,10.9832,1
3,12.4905,10.9002,2
2,20.0311,10.745,0
1,6.4304,10.6825,2
3,20.3036,10.6385,2
5,14.2632,10.4786,2
2,6.07286,10.3511,0
2,32.1572,10.266,0
3,20.9748,10.173,1
5,2.1912,9.3336,1
2,5.7887,9.2522,0
5,0.22716,9.2504,1
2,15.7274,9.11942,0
2,21.7752,9.07179,0
2,6.8871,8.9979,0
4,33.0046,8.90251,1
3,14.182,8.7579,1
1,13.9061,8.6687,0
3,13.0021,8.00782,1
5,38.2148,7.38266,1
4,37.0759,7.31257,1
3,37.2415,6.73533,1
4,14.1562,5.58379,0
6,2.0192,5.4438,0
3,20.2254,5.41855,1
4,29.6988,5.22256,0
3,20.1946,5.04733,1
4,33.2442,4.76513,0
